initial|word|mean|example
ㄱㄱ|간과|큰 관심 없이 대강 보아 넘김|작은 실수라고 ___했다가는 큰 사고로 이어질 수 있다
ㄱㄱ|간극|두 가지 사건이나 현상 사이의 틈|이상과 현실의 ___을 좁히기가 어렵다.
ㄱㅇ|감안|여러 사정을 참고하여 생각함|물가 상승률을 ___하여 연봉을 조정했다
ㄱㄱ|강구|좋은 대책과 방법을 궁리하여 찾아냄|문제 해결을 위한 대책을 조속히 ___해야 한다
ㄱㅇ|개입|자신과 관계없는 일에 끼어듦|정부가 시장에 과도하게 ___해서는 안 된다
ㄱㅇㅅ|개연성|일이 일어날 수 있는 가능성|그 소설은 ___이 부족하여 독자들의 공감을 얻지 못했다.
ㄱㅅ|갱신|이미 있던 것을 고쳐 새롭게 함|운전면허증 ___ 기간이 다가왔다
ㄱㄹ|계륵|그다지 큰 소용은 없으나 버리기에는 아까운 것|그 사업은 이익이 적어 ___ 같은 존재가 되었다
ㄱㅁ|고무|남을 격려하여 기세를 돋우는 것|시민들의 응원은 선수들에게 큰 ___가 되었다
ㄱㅍ|공표|세상에 널리 알림|정부는 새로운 부동산 정책을 내일 ___할 예정이다.
ㄱㅁ|규명|어떤 사실을 자세히 따져서 바로 밝힘|진상 조사 위원회는 사건의 원인을 철저히 ___하겠다고 밝혔다.
ㄱㄱ|구가|행복한 처지나 기쁜 마음 따위를 거리낌 없이 나타냄|한때 세계 시장을 호령하며 전성기를 ___했다.
ㄱㄱ|귀감|거울처럼 본받을 만한 모범|그의 선행은 타의 ___이 되고 있다
ㄱㅈ|기조|사상, 작품, 학설 따위의 밑바탕이 되는 큰 줄기|정부는 긴축 재정 ___를 유지하기로 했다
ㄱㄱ|기각|법원이 신청, 소송, 안건 등이 이유가 없다고 판단하여 받아들이지 않고 절차를 종결하는 결정|법원은 증거 불충분을 이유로 영장을 ___했다
ㄱㅊ|각출|금품을 나누어 냄|회식비를 각자 ___하여 계산했다
ㄱㄷ|갈등|개인이나 집단 사이에 이해관계가 달라 충돌함|노사 간의 ___이 깊어지고 있다
ㄱㅅ|격상|지위나 등급을 높임|이번 태풍 경보가 심각 단계로 ___되었다.
ㄱㅊ|격차|빈부, 임금, 기술 수준 따위가 서로 벌어진 차이|소득 ___가 점점 벌어지고 있다
ㄱㄱㅅ|경각심|정신을 차리고 주의 깊게 살피어 경계하는 마음|이번 사건은 안전에 대한 ___을 일깨워 주었다
ㄱㅈ|경주|물건을 기울여 쏟음. 또는 힘이나 정신을 한곳에만 기울임|그는 연구에 심혈을 ___했다.
ㄱㅂ|공분|사회 대중이 공통으로 느끼는 분노|파렴치한 범죄가 국민들의 ___을 샀다
ㄱㅈ|공조|여러 사람이 함께 도와줌|국제적인 ___ 수사가 필요하다
ㄱㅇ|과업|매일의 일과로서 하여야 할 일|주어진 ___을 완수하기 위해 야근을 했다
ㄱㅎ|관행|오래전부터 해 오는 대로 함|불합리한 ___을 개선해야 한다.
ㄱㅊ|관철|어려움을 뚫고 나아가 목적을 기어이 이룸|그는 자신의 주장을 끝까지 ___시켰다
